国民の祝日・休日月日,国民の祝日・休日名称
2009/4/29,昭和の日
2009/5/3,憲法記念日
2009/5/4,みどりの日
2009/5/5,こどもの日
2009/5/6,休日
2009/7/20,海の日
2009/9/21,敬老の日
2009/9/22,休日
2009/9/23,秋分の日
2009/10/12,体育の日
2009/11/3,文化の日
2009/11/23,勤労感謝の日
2009/12/23,天皇誕生日
2010/1/1,元日
2010/1/11,成人の日
2010/2/11,建国記念の日
2010/3/21,春分の日
2010/3/22,休日
2010/4/29,昭和の日
2010/5/3,憲法記念日
2010/5/4,みどりの日
2010/5/5,こどもの日
2010/7/19,海の日
2010/9/20,敬老の日
2010/9/23,秋分の日
2010/10/11,体育の日
2010/11/3,文化の日
2010/11/23,勤労感謝の日
2010/12/23,天皇誕生日
2011/1/1,元日
2011/1/10,成人の日
2011/2/11,建国記念の日
2011/3/21,春分の日
2011/4/29,昭和の日
2011/5/3,憲法記念日
2011/5/4,みどりの日
2011/5/5,こどもの日
2011/7/18,海の日
2011/9/19,敬老の日
2011/9/23,秋分の日
2011/10/10,体育の日
2011/11/3,文化の日
2011/11/23,勤労感謝の日
2011/12/23,天皇誕生日
2012/1/1,元日
2012/1/2,休日
2012/1/9,成人の日
2012/2/11,建国記念の日
2012/3/20,春分の日
2012/4/29,昭和の日
2012/4/30,休日
2012/5/3,憲法記念日
2012/5/4,みどりの日
2012/5/5,こどもの日
2012/7/16,海の日
2012/9/17,敬老の日
2012/9/22,秋分の日
2012/10/8,体育の日
2012/11/3,文化の日
2012/11/23,勤労感謝の日
2012/12/23,天皇誕生日
2012/12/24,休日
2013/1/1,元日
2013/1/14,成人の日
2013/2/11,建国記念の日
2013/3/20,春分の日
2013/4/29,昭和の日
2013/5/3,憲法記念日
2013/5/4,みどりの日
2013/5/5,こどもの日
2013/5/6,休日
2013/7/15,海の日
2013/9/16,敬老の日
2013/9/23,秋分の日
2013/10/14,体育の日
2013/11/3,文化の日
2013/11/4,休日
2013/11/23,勤労感謝の日
2013/12/23,天皇誕生日
2014/1/1,元日
2014/1/13,成人の日
2014/2/11,建国記念の日
2014/3/21,春分の日
2014/4/29,昭和の日
2014/5/3,憲法記念日
2014/5/4,みどりの日
2014/5/5,こどもの日
2014/5/6,休日
2014/7/21,海の日
2014/9/15,敬老の日
2014/9/23,秋分の日
2014/10/13,体育の日
2014/11/3,文化の日
2014/11/23,勤労感謝の日
2014/11/24,休日
2014/12/23,天皇誕生日
2015/1/1,元日
2015/1/12,成人の日
2015/2/11,建国記念の日
2015/3/21,春分の日
2015/4/29,昭和の日
2015/5/3,憲法記念日
2015/5/4,みどりの日
2015/5/5,こどもの日
2015/5/6,休日
2015/7/20,海の日
2015/9/21,敬老の日
2015/9/22,休日
2015/9/23,秋分の日
2015/10/12,体育の日
2015/11/3,文化の日
2015/11/23,勤労感謝の日
2015/12/23,天皇誕生日
2016/1/1,元日
2016/1/11,成人の日
2016/2/11,建国記念の日
2016/3/20,春分の日
2016/3/21,休日
2016/4/29,昭和の日
2016/5/3,憲法記念日
2016/5/4,みどりの日
2016/5/5,こどもの日
2016/7/18,海の日
2016/8/11,山の日
2016/9/19,敬老の日
2016/9/22,秋分の日
2016/10/10,体育の日
2016/11/3,文化の日
2016/11/23,勤労感謝の日
2016/12/23,天皇誕生日
2017/1/1,元日
2017/1/2,休日
2017/1/9,成人の日
2017/2/11,建国記念の日
2017/3/20,春分の日
2017/4/29,昭和の日
2017/5/3,憲法記念日
2017/5/4,みどりの日
2017/5/5,こどもの日
2017/7/17,海の日
2017/8/11,山の日
2017/9/18,敬老の日
2017/9/23,秋分の日
2017/10/9,体育の日
2017/11/3,文化の日
2017/11/23,勤労感謝の日
2017/12/23,天皇誕生日
2018/1/1,元日
2018/1/8,成人の日
2018/2/11,建国記念の日
2018/2/12,休日
2018/3/21,春分の日
2018/4/29,昭和の日
2018/4/30,休日
2018/5/3,憲法記念日
2018/5/4,みどりの日
2018/5/5,こどもの日
2018/7/16,海の日
2018/8/11,山の日
2018/9/17,敬老の日
2018/9/23,秋分の日
2018/9/24,休日
2018/10/8,体育の日
2018/11/3,文化の日
2018/11/23,勤労感謝の日
2018/12/23,天皇誕生日
2018/12/24,休日
2019/1/1,元日
2019/1/14,成人の日
2019/2/11,建国記念の日
2019/3/21,春分の日
2019/4/29,昭和の日
2019/4/30,休日
2019/5/1,休日（祝日扱い）
2019/5/2,休日
2019/5/3,憲法記念日
2019/5/4,みどりの日
2019/5/5,こどもの日
2019/5/6,休日
2019/7/15,海の日
2019/8/11,山の日
2019/8/12,休日
2019/9/16,敬老の日
2019/9/23,秋分の日
2019/10/14,体育の日（スポーツの日）
2019/10/22,休日（祝日扱い）
2019/11/3,文化の日
2019/11/4,休日
2019/11/23,勤労感謝の日
2020/1/1,元日
2020/1/13,成人の日
2020/2/11,建国記念の日
2020/2/23,天皇誕生日
2020/2/24,休日
2020/3/20,春分の日
2020/4/29,昭和の日
2020/5/3,憲法記念日
2020/5/4,みどりの日
2020/5/5,こどもの日
2020/5/6,休日
2020/7/23,海の日
2020/7/24,スポーツの日
2020/8/10,山の日
2020/9/21,敬老の日
2020/9/22,秋分の日
2020/11/3,文化の日
2020/11/23,勤労感謝の日
2021/1/1,元日
2021/1/11,成人の日
2021/2/11,建国記念の日
2021/2/23,天皇誕生日
2021/3/20,春分の日
2021/4/29,昭和の日
2021/5/3,憲法記念日
2021/5/4,みどりの日
2021/5/5,こどもの日
2021/7/22,海の日
2021/7/23,スポーツの日
2021/8/8,山の日
2021/8/9,休日
2021/9/20,敬老の日
2021/9/23,秋分の日
2021/11/3,文化の日
2021/11/23,勤労感謝の日
2022/1/1,元日
2022/1/10,成人の日
2022/2/11,建国記念の日
2022/2/23,天皇誕生日
2022/3/21,春分の日
2022/4/29,昭和の日
2022/5/3,憲法記念日
2022/5/4,みどりの日
2022/5/5,こどもの日
2022/7/18,海の日
2022/8/11,山の日
2022/9/19,敬老の日
2022/9/23,秋分の日
2022/10/10,スポーツの日
2022/11/3,文化の日
2022/11/23,勤労感謝の日
2023/1/1,元日
2023/1/2,休日
2023/1/9,成人の日
2023/2/11,建国記念の日
2023/2/23,天皇誕生日
2023/3/21,春分の日
2023/4/29,昭和の日
2023/5/3,憲法記念日
2023/5/4,みどりの日
2023/5/5,こどもの日
2023/7/17,海の日
2023/8/11,山の日
2023/9/18,敬老の日
2023/9/23,秋分の日
2023/10/9,スポーツの日
2023/11/3,文化の日
2023/11/23,勤労感謝の日
2024/1/1,元日
2024/1/8,成人の日
2024/2/11,建国記念の日
2024/2/12,休日
2024/2/23,天皇誕生日
2024/3/20,春分の日
2024/4/29,昭和の日
2024/5/3,憲法記念日
2024/5/4,みどりの日
2024/5/5,こどもの日
2024/5/6,休日
2024/7/15,海の日
2024/8/11,山の日
2024/8/12,休日
2024/9/16,敬老の日
2024/9/22,秋分の日
2024/9/23,休日
2024/10/14,スポーツの日
2024/11/3,文化の日
2024/11/4,休日
2024/11/23,勤労感謝の日
2025/1/1,元日
2025/1/13,成人の日
2025/2/11,建国記念の日
2025/2/23,天皇誕生日
2025/2/24,休日
2025/3/20,春分の日
2025/4/29,昭和の日
2025/5/3,憲法記念日
2025/5/4,みどりの日
2025/5/5,こどもの日
2025/5/6,休日
2025/7/21,海の日
2025/8/11,山の日
2025/9/15,敬老の日
2025/9/23,秋分の日
2025/10/13,スポーツの日
2025/11/3,文化の日
2025/11/23,勤労感謝の日
2025/11/24,休日
2026/1/1,元日
2026/1/12,成人の日
2026/2/11,建国記念の日
2026/2/23,天皇誕生日
2026/3/20,春分の日
2026/4/29,昭和の日
2026/5/3,憲法記念日
2026/5/4,みどりの日
2026/5/5,こどもの日
2026/5/6,休日
2026/7/20,海の日
2026/8/11,山の日
2026/9/21,敬老の日
2026/9/22,休日
2026/9/23,秋分の日
2026/10/12,スポーツの日
2026/11/3,文化の日
2026/11/23,勤労感謝の日
